Date,Time Only,Box Temp Arduino (C),Box Temp (C),Ambient Temperature (C),Humidity (%),Wind (m/s),Dust (mg/m^3),Irradiance (W/m2),Surface Temp (C),Irradiance with Coating,Irradiance without Coating,Surface-Temp with Coating (ºC),Surface-Temp without Coating (ºC),Max Pow without coating,Max Power with Coating,Max Power Main
11/07/2019,11:22,35.03681,55.418589,49.84840986,17.36234291,2.40431615,0.001042648,719.7395843,57.186226,408.754412,525.812973,63.737943,63.596887,4.812548,5.193569,74.964916
11/07/2019,11:36,34.833098,54.909617,54.34665425,10.76108774,2.041261607,0.000588814,676.0065231,59.746147,375.723621,513.975852,67.102085,65.038663,4.572144,5.099379,71.042406
11/07/2019,11:51,35.7498,55.316795,51.98354352,15.27179726,1.422929343,0,615.8850359,59.461711,358.490165,533.211174,63.161233,58.406496,4.516291,4.964953,68.273185
11/07/2019,12:07,35.851656,56.436534,50.59013305,17.09856548,1.958028232,0.000675838,627.6443821,53.867809,359.926287,431.116004,63.545706,64.173597,4.181634,4.773765,64.509182
11/07/2019,12:21,36.157223,56.538329,50.18289405,16.9319263,0.611960645,0,574.7561312,54.247057,374.2875,448.871686,63.737943,64.461953,3.828399,4.543597,59.515171
11/07/2019,12:37,36.564646,56.029356,51.23238975,26.22813034,1.582116833,5.96E-05,546.0113261,54.721117,319.71489,377.848958,64.50689,63.596887,3.486565,4.392086,54.100757
11/07/2019,12:51,36.870213,57.047301,59.21073764,17.1655567,0.864513259,0.003918708,442.0457118,56.048483,249.344945,411.880682,61.334984,56.099656,3.204404,4.152258,49.287403
11/07/2019,13:07,37.175781,56.029356,58.65918006,23.11918066,1.21169503,0.003044147,408.5854631,53.867809,196.208456,336.419034,60.3738,55.23459,2.988617,4.152008,45.16626
11/07/2019,13:22,37.379492,56.640123,56.82704576,27.22878588,1.692128162,0,379.0730838,50.454581,157.43318,216.568182,57.970842,54.369525,2.726818,3.768136,41.532226
11/07/2019,13:37,37.277637,56.029356,58.7049678,16.11931474,2.426697497,0.001000685,334.1920594,47.610225,99.988327,181.056818,55.471764,51.966566,2.239757,3.381681,35.357105
11/07/2019,13:52,37.073925,55.520384,55.30415005,33.48660696,0.90785533,0.050440691,311.0967298,43.628125,101.424449,132.228693,53.741634,51.293738,2.010616,3.078077,30.272452
11/07/2019,14:06,36.666502,55.825767,53.70038549,21.72600317,0.51346918,0,268.5596376,40.499333,87.063235,86.359848,50.858083,50.813146,1.501952,2.672262,25.036018
11/07/2019,14:21,36.870213,55.113206,56.66949121,25.84735311,0.073595936,0,226.4700295,38.982342,99.988327,110.034091,49.127953,49.179134,1.040802,2.263346,20.499919
11/07/2019,14:37,36.666502,54.909617,63.05194713,27.05831828,0.659256057,0,135.7444647,42.680006,18.129412,83.400568,52.107622,46.872293,0.843571,1.907768,16.437712
11/07/2019,14:52,36.360935,54.502439,59.28960192,32.54071221,1.941502259,0,97.42256278,39.646025,18.129412,64.165246,48.455124,42.643086,0.590904,1.629426,10.923033
11/07/2019,15:07,36.259079,54.400644,57.23212831,42.78054902,0.665406025,0.00093278,117.8661806,31.966262,52.596324,55.287405,43.745325,43.123677,0.281868,1.656839,9.315088
11/07/2019,15:21,35.953512,53.789877,48.79505979,37.89845182,0,0.002428844,33.61808214,33.388441,18.129412,68.604167,44.225917,39.086706,0.256232,1.520566,5.115785
11/07/2019,15:37,35.240521,53.17911,57.38563201,33.46535596,1.724261624,0,56.2693266,35.758738,18.129412,6.45928,47.686177,42.643086,0.277266,1.620554,5.017011
11/07/2019,15:52,34.527531,52.568343,51.61358314,38.46969424,1.325940792,0.000444439,36.98789568,32.250698,18.129412,3.5,47.878414,42.162494,0.266434,1.492792,3.887241
11/07/2019,16:06,34.120108,51.346809,45.7196423,39.5656409,0.210515515,0,19.34244276,31.966262,21.001654,64.165246,42.399668,37.644931,0.236184,1.457611,3.919007
11/07/2019,16:22,32.999694,50.125275,46.56946955,42.7728088,0.272531811,0.002228698,5.478702976,31.018143,18.129412,62.685606,41.246248,36.107037,0.228297,1.42243,3.120481
11/07/2019,16:36,32.286704,48.801946,37.35727017,40.83511871,0.623072749,0,36.01012068,25.993113,18.129412,3.5,37.59375,38.413878,0.207592,1.344661,2.745582
11/07/2019,16:52,31.16629,47.376823,36.18097922,56.56438758,0,0.000649081,23.07246146,26.751608,43.979596,40.491004,34.037371,33.896315,0.155665,1.111356,0.692538
11/07/2019,17:06,29.638454,45.340933,39.51986314,55.98762237,0.142180124,8.81E-05,6.890249785,28.36341,18.129412,3.5,37.209277,35.530327,0,0.609564,0.936017
11/07/2019,17:22,28.416185,44.933755,38.21029009,53.87742439,1.258868894,0.000499735,14.3309431,22.485073,18.129412,3.5,31.922767,32.839013,0,0.267012,0
11/07/2019,17:36,28.008761,44.424782,34.14967056,60.85959018,1.427034375,0,16.86691195,21.536954,18.129412,9.418561,30.673228,30.820528,0,0.146656,0
11/07/2019,17:52,27.193915,43.814015,31.31561779,66.45741627,0.382793242,0.000247127,11.72760294,23.33838,18.129412,24.214962,31.538294,29.378752,0,0.168875,0
11/07/2019,18:06,26.582781,42.79607,34.93389891,69.01801906,1.320179996,0,4.704939891,27.130856,18.129412,3.5,34.902436,32.742895,0,0.144804,0
11/07/2019,18:22,26.480925,42.490686,37.49505224,52.78281098,1.09963511,0.002274512,8.952933766,26.656796,18.129412,3.5,34.806318,32.262303,0,0.144804,0
11/07/2019,18:37,25.462367,42.287097,37.14124322,46.84040046,1.384452692,0.000414753,1.945074333,24.760558,18.129412,3.5,34.229608,34.376907,0,0.150359,0
11/07/2019,18:52,25.360511,42.592481,31.59992059,45.554957,0,0.003518493,5.929868054,26.37236,18.129412,13.857481,33.556779,30.820528,0,0.152211,0
11/07/2019,19:06,25.054944,42.490686,34.50546887,51.76360229,1.736910347,0,28.94029946,24.191687,31.054504,56.767045,32.499477,31.397238,0,0.155914,0
11/07/2019,19:22,24.545665,42.287097,34.5608731,49.33995033,0,0.003681133,14.53034897,27.510103,18.129412,3.5,34.133489,31.30112,0,0.150359,0
11/07/2019,19:37,24.443809,41.269152,33.36749098,47.72149423,0,0.000346457,8.565060042,23.622816,18.129412,24.214962,31.538294,29.378752,0,0.148507,0
11/07/2019,19:52,24.443809,41.472741,30.29925881,38.84778871,0,0.006147182,6.315284905,26.467172,29.618382,71.563447,31.634412,30.724409,0,0.144804,0
11/07/2019,20:07,24.036386,41.472741,33.43822871,43.20257691,1.021617345,0,8.182413088,21.536954,18.129412,33.092803,28.750861,27.648622,0,0.154062,0
11/07/2019,20:21,23.527108,40.76018,29.89478269,37.43436636,0.024163373,0.001861562,2.64318191,23.148756,18.129412,36.052083,29.808163,27.74474,0,0.155914,0
11/07/2019,20:37,23.425252,40.454796,28.2300071,36.21432048,0.417317154,0,16.20800098,20.494023,19.565533,16.816761,27.789678,28.225332,0,0.154062,0
11/07/2019,20:51,23.323396,40.556591,35.57357755,38.123223,1.716236572,0,9.452479902,30.070024,18.129412,3.5,32.30724,34.376907,0,0.154062,0
11/07/2019,21:07,23.017829,40.149413,30.85965454,46.76204895,0.33852998,0.000713004,2.234886719,20.399211,18.129412,30.133523,26.924612,26.495202,0,0.144804,0
11/07/2019,21:21,22.50855,39.64044,32.80624991,48.169622,1.706989913,0,2.253497012,22.200637,18.129412,3.5,28.558625,29.282634,0,0.154062,0
11/07/2019,21:37,22.304838,39.233262,31.98539273,30.78730163,0.965407248,0,16.64447449,21.34733,18.129412,3.5,28.270269,28.802042,0,0.157766,0
11/07/2019,21:51,22.406694,39.029673,26.89218252,57.23194216,0,0.00014172,13.48626397,24.002063,18.129412,3.5,30.769347,30.724409,0,0.152211,0
11/07/2019,22:07,22.304838,39.436851,29.35967135,49.13816498,0.424308854,0.00043335,9.222137463,25.424242,18.129412,3.5,31.538294,30.051581,0,0.155914,0
11/07/2019,22:21,21.693704,39.029673,32.17888497,40.25544726,1.239652961,0.000348873,8.500819339,22.579885,18.129412,3.5,29.42369,28.705924,0,0.148507,0
11/07/2019,22:37,21.897415,38.826084,28.66469846,52.57906985,0.647956241,0.007205737,7.357891,27.889351,18.129412,3.5,33.460661,32.166185,0,0.150359,0
11/07/2019,22:51,21.693704,38.826084,31.99541358,53.16864107,1.695795453,0,6.546556861,20.968083,18.129412,19.776042,27.885796,27.264149,0,0.152211,0
11/07/2019,23:06,21.388136,38.622495,30.80418971,52.74176908,0.965952401,0,11.49525944,22.011013,22.437776,30.133523,28.078033,26.783557,0,0.157766,0
11/07/2019,23:22,21.184425,38.5207,33.4270048,57.86092231,0.718151519,0.00290745,7.247449836,25.424242,18.129412,3.5,32.403359,31.781711,0,0.159617,0
11/07/2019,23:37,21.184425,38.5207,29.59404163,47.76702085,0.950637385,0.004471384,10.97197648,25.424242,18.129412,3.5,32.115004,31.589475,0,0.157766,0
11/07/2019,23:51,21.286281,38.5207,30.98922678,51.84871182,1.540689898,0.000351228,6.407739798,21.442142,18.129412,3.5,30.57711,31.589475,0,0.157766,0
12/07/2019,0:06,20.878858,38.011728,32.71542217,51.04260485,3.479094914,0,26.16185725,23.053944,64.085294,50.848485,27.116849,28.321451,0,0.161469,0
12/07/2019,0:21,21.082569,38.011728,25.06588857,71.04913403,0.323317773,0.005939079,6.10183869,25.993113,18.129412,3.5,32.018885,31.012765,0,0.167024,0
12/07/2019,0:37,21.082569,38.113522,32.46983025,66.92000622,0.646766637,0.000451526,8.313594161,23.528004,18.129412,3.5,29.519808,29.667108,0,0.154062,0
12/07/2019,0:52,20.878858,37.60455,29.84338442,83.39437294,0.510323394,0,11.24205282,22.86432,18.129412,31.613163,27.597441,26.01461,0,0.157766,0
12/07/2019,1:06,20.980713,37.808139,36.90301422,65.55931833,2.095328966,0.000611305,5.880613948,21.916201,18.129412,3.5,28.558625,28.609806,0,0.16332,0
12/07/2019,1:22,20.980713,38.011728,30.90889707,65.73010194,1.542167258,0.012387642,16.15887867,26.751608,18.129412,3.5,31.538294,34.665262,0,0.170727,0
12/07/2019,1:37,20.777002,37.400961,31.89671368,66.30956881,0.980134555,0.000929131,9.280342753,21.062894,21.001654,28.653883,26.924612,26.01461,0,0.176282,0
12/07/2019,1:51,20.57329,37.299166,28.90229846,76.92477611,0.747895771,0,8.582869017,23.433192,18.129412,16.816761,28.366388,27.071912,0,0.161469,0
12/07/2019,2:07,20.57329,37.197372,29.29771792,62.76625755,3.139599487,0.001006053,18.35627823,22.295449,18.129412,36.052083,27.020731,25.726255,0,0.152211,0
12/07/2019,2:22,20.369579,37.299166,34.26217563,65.51026599,2.266022677,0,23.39279153,21.916201,35.362868,25.694602,26.636257,26.975794,0,0.157766,0
12/07/2019,2:37,20.675146,37.502755,34.16330707,64.69201451,1.166578269,0,23.00994721,21.062894,22.437776,30.133523,26.828494,25.918492,0,0.167024,0
12/07/2019,2:52,20.369579,37.299166,29.93916589,72.17194981,0,0.000137675,9.115627106,24.760558,18.129412,3.5,30.57711,29.570989,0.159937,0.357742,0
12/07/2019,3:07,20.267723,36.993783,30.36262809,61.4319377,2.340725391,0,40.45603415,21.34733,29.618382,53.807765,27.309086,26.399083,0.249331,0.82065,0.127112
12/07/2019,3:22,20.165867,37.299166,32.11876562,63.23088466,0.314518246,0,13.49064611,24.950182,18.129412,3.5,30.288755,30.628291,0.274965,1.279854,1.286574
12/07/2019,3:36,20.267723,37.299166,29.30940987,56.70702899,0.781086322,0,61.88763251,23.812439,25.310018,36.052083,30.096518,29.667108,0.287126,1.468721,3.215164
12/07/2019,3:52,20.777002,38.113522,36.01846919,52.9101767,1.894818237,0,248.3793503,31.018143,89.935478,155.902936,33.268424,33.127368,0.294356,1.566857,3.937928
12/07/2019,4:07,20.777002,38.826084,35.67453025,58.92754309,1.449162071,0.010481847,217.2068037,33.8625,77.010386,89.319129,38.362697,35.338091,0.309803,1.776513,10.938569
12/07/2019,4:22,21.388136,39.233262,31.22469635,57.47989217,0.541178406,0.001878371,281.5858711,34.431371,28.182261,204.731061,40.957892,39.375062,0.313089,1.890857,19.269879
12/07/2019,4:36,21.388136,39.742235,35.07798154,38.55307619,1.765272699,0.000827559,353.1778946,35.948362,170.358272,240.242424,40.765656,44.084861,0.313418,2.337515,20.03414
12/07/2019,4:52,22.304838,40.353002,37.43424573,35.45622188,2.314627592,0.000684796,456.3313079,35.37949,270.886765,360.093277,41.438484,41.874139,0.314732,2.621102,25.523549
12/07/2019,5:07,23.017829,41.472741,34.11096869,36.20334551,0.601900735,0.000609496,434.884363,42.205947,250.781066,329.020833,49.8969,48.21795,2.493552,3.212645,32.945457
12/07/2019,5:22,23.934531,42.490686,38.50424614,37.28388569,1.661872231,0.002756248,505.3970745,48.273908,290.992463,423.717803,52.876569,50.428672,0.758426,3.662179,38.383415
12/07/2019,5:37,24.341954,42.897864,38.80618195,29.38538371,2.530296422,0,566.4970508,41.637075,381.468107,490.30161,48.743479,48.121832,0.307173,3.750968,40.992198
12/07/2019,5:51,25.1568,44.119399,39.48096557,28.81072017,0.675365497,0.067942303,579.8639693,47.515413,336.948346,437.034564,55.760119,54.946235,3.32222,4.125069,45.152732
12/07/2019,6:06,25.767935,44.83196,42.07471986,33.90646055,0,0.004918893,571.884258,50.454581,351.309559,487.34233,55.567883,53.985052,3.782456,4.514807,52.399233
12/07/2019,6:22,26.582781,45.849905,39.01552253,17.50649657,0.645999249,0.00393898,632.0557314,48.36872,437.476838,556.885417,52.395977,50.909264,3.808159,4.664537,59.470243
12/07/2019,6:37,27.193915,46.86785,44.84202381,30.75015145,1.440057848,0,705.247637,49.88571,466.199265,539.129735,55.471764,56.964721,4.184476,4.811271,61.325871
12/07/2019,6:52,28.721752,47.580412,41.33659642,25.01957876,0,0.004715967,678.3368593,53.014502,461.890901,621.989583,55.471764,53.408342,4.548078,4.922078,68.502519
12/07/2019,7:07,29.129175,48.903741,45.53695197,27.48700234,0.162344826,0.0016617,678.3273666,56.90179,441.785202,626.428504,58.355315,55.042354,4.587893,5.016036,73.988933
12/07/2019,7:22,29.332886,49.310919,49.51538643,17.20788681,1.4137213,0.000289466,698.762941,58.229157,444.657445,638.265625,61.815576,59.079325,4.793071,5.134205,70.703897
12/07/2019,7:37,30.351444,50.328864,45.15345937,26.11835794,1.340752902,0,743.353614,59.177275,440.349081,614.591383,63.257351,60.809455,4.751941,5.113105,72.631245
12/07/2019,7:52,30.860723,51.652192,49.29934687,24.99467709,1.177964396,0,706.6218404,58.134345,441.785202,648.623106,61.334984,58.022023,4.827512,5.150589,77.083318
12/07/2019,8:07,31.675569,51.957576,52.82453451,20.55196874,1.251153064,0,724.2116113,59.461711,459.018658,583.518939,66.429257,66.192083,4.881317,5.226589,77.358151
12/07/2019,8:22,32.490415,52.466548,47.67819353,22.35585259,1.077112162,0.00172246,698.2098818,61.452761,441.785202,611.632102,63.834061,60.232745,4.75741,5.121879,75.936816
12/07/2019,8:37,32.999694,53.280905,51.46730072,15.04991666,0.498817092,0.003140145,680.4443587,62.116444,460.454779,629.387784,64.410771,61.290047,4.84276,5.074029,75.623168
12/07/2019,8:52,34.120108,53.484494,52.23241859,15.87404823,0,0.002029972,660.0073484,59.272087,453.274173,607.193182,63.449588,61.09781,4.822532,5.056069,73.505446
12/07/2019,9:07,34.120108,54.706028,53.82262774,21.375315,0.617965485,0.00704885,649.6443897,60.030583,434.604596,601.274621,63.737943,60.905573,4.675048,5.062981,72.770301
12/07/2019,9:21,34.629387,53.993466,46.84856358,15.32766929,0.272625604,0,697.9790897,55.100364,431.732353,511.016572,63.353469,64.077479,4.504657,4.949001,72.143914
12/07/2019,9:36,35.342377,55.927562,48.38882877,26.78278523,1.449155791,0.000852861,640.7285296,55.764047,420.243382,521.374053,60.950511,62.155112,4.387195,4.856786,69.221604
12/07/2019,9:51,35.7498,55.011411,53.02970013,16.48054764,1.928621475,0.008634429,578.7032853,57.755097,338.384467,497.699811,64.603008,60.136626,4.243791,4.762871,65.102832
12/07/2019,10:06,35.851656,55.723973,54.49193735,18.27820295,0.03398744,0.000980012,542.2133542,58.703216,311.098162,475.505208,63.93018,58.406496,4.037231,4.617764,63.200981
12/07/2019,10:22,36.055367,57.352685,51.3941457,30.9245216,0,0.000105319,533.410331,53.488562,354.181801,462.188447,59.22038,57.829786,3.768552,4.31335,56.263712
12/07/2019,10:37,36.46279,56.640123,51.24460142,17.67374823,0.083660042,0,487.7661322,51.592324,309.66204,439.993845,59.316499,57.156957,3.450825,4.295785,53.107885
12/07/2019,10:52,36.360935,56.538329,54.31348656,17.66572075,1.741381595,0.000112622,472.101139,50.075334,233.54761,320.142992,62.007812,59.752153,3.331724,4.063112,49.090939
12/07/2019,11:07,36.870213,57.25089,52.24545139,25.89333782,0.323702414,0.000404384,449.4203768,47.136165,252.217188,326.061553,57.682486,57.253076,2.906439,3.878703,45.42292
12/07/2019,11:22,37.277637,56.436534,54.27923895,27.02906294,0,0.00705213,345.1648884,48.747967,186.155607,290.550189,54.510581,50.428672,2.587547,3.604868,39.424282
